Beer,Brewery,Country,Chooser,Style,ABV
F*** 2020,Cold Town,United Kingdom,Sam,Lager,5.2
Fairytale Of Brew York 2021,Brew York,United Kingdom,Alan,Stout,6.6
Anarchy Kiss The Sun Can,Anarchy Brew Co,United Kingdom,Morty,Ale,5.3
Cape Point Pale Ale,Cape Brewing Co,South Africa,Dave,xPA,4.8
Cisk Lager Can,Simonds Farsons Cisk,Malta,Morty,Lager,4.2
Cold Town Proud As Helles Can,Cold Town,United Kingdom,Daz,Lager,5.1
Hofbrau Winterzwickl,Hofbrau Munchen,Germany,Jamie,Lager,5.5
Humpty Dumpty Christmas Crack,Humpty Dumpty,United Kingdom,Pete,Ale,7
Kloster Andechs Weissbier Dunkel,Kloster Andechs,Germany,Baz,Wheat Beer,5
Mighty Oak Wonky Donkey,Mighty Oak Brewery,United Kingdom,Sam,Ale,4.3
Moeder Overste Flip Top,Brasserie Lefebvre,Belgium,Jamie,Ale,8
Moon Gazer Skidaddler Norfolk Milk Stout Can,The Norfolk Brewhouse,United Kingdom,Daz,Stout,4.5
Nordbrau Ingolstadt Eisbock,Nordbrau Ingolstadt,Germany,Baz,Lager,9.2
Saison Dupont,Dupont,Belgium,Dave,Ale,6.5
Sloop Super Soft IPA Can,Sloop Brewing Company,United States,Pete,xPA,6
Wildcraft Wild Card Blackberry Stout Can,Wildcraft Brewery,United Kingdom,Alan,Stout,4.5
